rank,name,hook,domain,built,repo,status,commits,tests,last_active,version,notes
1,Vector Databases,"O'Reilly book: I wrote the English, Claude wrote the code","I brought the database background and ability to teach","A book with Vector Database Applications and a draft for a Vector Query Language",https://github.com/nborwankar/VectorDatabasesBook,pre-release,,,,,4 standalone chapter demos; github repo for book to follow
3,mlx-manopt,Riemannian optimization on Apple Silicon — exact PyManopt API parity,Differential geometry + manifold optimization (Absil et al.) ported the entire framework to run on GPU on Apple Silicon,"15 manifolds, 5 optimizers, 2 line searchers; exact PyManopt API parity (file names, class names, constructor params)",https://github.com/nborwankar/mlx-manopt,published,9,405,2026-01-05,0.1.0,30+ commits; 60/60 cross-validation vs pymanopt; 50-200x speedup
4,mcpmon,Wireshark for MCP — monitor Claude Desktop/Code traffic with LLM triage,MCP protocol internals + macOS system logging + Electron architecture. All because I couldn’t debug why an MCP was failing,Electron+React app; dual log watcher; two-tier Ollama diagnosis; SQLite store,https://github.com/nborwankar/mcpmon,published,27,144,2026-03-13,1.0.0,
8,mlx-hyperbolic,Hyperbolic geometry primitives (Poincare + Lorentz) on Apple Silicon,Hyperbolic geometry + numerical stability analysis.,"Full Poincare and Lorentz: distance, exp/log maps, parallel transport, centroids",https://github.com/nborwankar/mlx-hyperbolic,published,12,,2025-12-31,0.2.1,183x faster than PyManopt
5,kurt / KStories,Generative storytelling from Vonnegut's 8 story shapes and fine tuning Tiny Stories SLM’s,Narrative theory (Vonnegut) + LLM pipeline design + corpus curation,"Story generation pipeline: corpus, LLM annotation, panel repair, beat enhancement",https://github.com/nborwankar/kurt,active,39,,2026-03-13,,295 stories across 8 shapes
7,strictRAG / VQL,VQL — SQL for semantics; neuro-symbolic RAG eliminating hallucination,Neuro-symbolic AI + query language design + intrinsic dimensionality,"Vector Query Language (3 conformance tiers), SQLite backend, parser, symbolic bottleneck",https://github.com/nborwankar/strictRAG,active,25,120,2026-03-13,,3-tier VQL spec
12,embedding_tools,Backend-agnostic embedding library: NumPy/MLX/JAX/PyTorch zero code changes,Cross-platform ML infrastructure + Matryoshka embeddings,"4-backend abstraction, EmbeddingStore, Matryoshka slicing, config hashing",https://github.com/nborwankar/embedding_tools,published,31,111,2026-02-14,v0.1.1,PyPI-ready
11,industrial-software,IC-industry practices applied to software component specification,Industrial engineering (IC datasheets) + WASM runtimes + Java ecosystem,Monorepo: WASM toolkit + Component Catalog with datasheet DSL and gap analysis,/what-hath-claude-wrought/coming-soon.html,early,44,110,2026-02-24,,12 gap analysis experiments
6,convaix,"AI conversation exchange — store, search, share across ChatGPT, Claude, Gemini",LLM conversation schemas + SQLite-vec + P2P exchange design,"CLI with JSON schema, hybrid search, provider adapters (ChatGPT/Claude/Gemini)",https://github.com/nborwankar/convaix,active,10,37,2026-03-13,0.1.0,pip-installable
9,flatoons,Semantic animation — SVG characters from pose descriptions via Flatoon Description Language,Animation semiotics + SVG geometry + DSL design,"Schema with fortune axis, 20+ pose palette, FDL parser, CLI with terminal preview",/what-hath-claude-wrought/coming-soon.html,published,14,118,2026-02-14,,FDL language
10,aishell,Multi-LLM shell + conversation export/search across 4 providers,CLI UX + browser automation (CDP) + multi-provider API reverse-engineering,"4-provider LLM integration, conversation export via Chrome CDP, hybrid search, TUI",https://github.com/nborwankar/aishell,active,108,1287,2026-03-13,v0.3.2,1764 conversations exported
2,n2 Code Search,Vector embeddings + tri-modal retrieval + pgvector + TUI,Code analysis + PostgreSQL ltree/pgvector +  embeddings,"5-phase system: schema, embedding pipeline, hybrid search, FastAPI, 3-panel TUI",/what-hath-claude-wrought/coming-soon.html,active,36,52,2026-03-07,0.1.0-alpha,sub-10ms vector search
